Net_YY,Customer,Solid,Stript,Check,1W_Match,2W_Match,LS,Plan_Cut_Qty,Repeat_x,Repeat_y,Avgÿ_Neck_Size,Double_Cuff,Marker_width,Dress,Sport
1.601966699,ART,1,0,0,0,1,1,100,0,0,33.0,0,62.0,1.000,0.000
1.785201391,ART,1,0,0,0,1,1,1225,0,0,33.9,0,60.2,1.000,0.000
1.691687107,ART,1,0,0,0,1,1,1002,0,0,33.8,0,60.3,1.000,0.000
1.60649999,ART,1,0,0,0,1,1,130,0,0,33.0,0,61.0,1.000,0.000
1.628759066,ART,1,0,0,0,1,1,1644,0,0,32.8,0,60.6,1.000,0.000
1.607971827,CT,0,0,1,0,1,1,1273,0.291999996,0.291999996,32.2,0,57.5,1.000,0.000
1.581140995,CT,0,1,0,1,0,1,456,0,0.178000003,32.2,0,58.2,1.000,0.000
1.587777774,CT,1,0,0,1,0,1,232,0,0,32.3,0,57.8,1.000,0.000
1.611375173,CT,1,0,0,1,0,1,203,0,0,32.3,0,57.0,1.000,0.000
1.630022208,CT,1,0,0,1,0,1,212,0,0,32.3,0,57.0,1.000,0.000
1.512625694,CT,1,0,0,0,1,1,1025,0,0,32.2,0,57.4,1.000,0.000
1.545165857,CT,1,0,0,0,1,1,1094,0,0,32.2,0,57.0,1.000,0.000
1.664981524,CT,0,1,0,0,1,1,90,0,0.125,33.9,0,61.0,0.972,0.028
1.453194459,CT,1,0,0,0,1,1,12,0,0,32.5,0,60.3,1.000,0.000
1.375345866,CT,1,0,0,0,1,1,96,0,0,31.8,0,60.0,1.000,0.000
1.375345866,CT,1,0,0,0,1,1,198,0,0,31.8,0,60.0,1.000,0.000
1.455526034,CT,1,0,0,0,1,1,192,0,0,32.1,0,61.3,1.000,0.000
1.455526034,CT,1,0,0,0,1,1,212,0,0,32.1,0,61.3,1.000,0.000
1.447867552,CT,1,0,0,0,1,1,276,0,0,32.2,0,60.0,1.000,0.000
